N	PseudoRandomError	QuasiRandomError
100	0.156920361967464	0.04
1100	0.0484867630475985	0.00727272727272732
2100	0.035493442669304	0.00952380952380949
3100	0.0291289959586445	0.0025806451612902
4100	0.0261311852864371	0.00487804878048781
5100	0.0231577568345464	0.0015686274509803
6100	0.0212155216918118	0.00327868852459012
7100	0.0193211407846481	0.00338028169014093
8100	0.0183662694362094	0.000493827160493954
9100	0.0172693416241296	0.00219780219780219
10100	0.0160202085131418	0.00198019801980198
11100	0.015617541539317	0
12100	0.0149233328880985	0.000330578512396595
13100	0.0143268487448919	0.000305343511450396
14100	0.0137629464554932	0.00028368794326239
15100	0.0134374687778039	0.000794701986755353
16100	0.0129106718915527	0.00049689440993772
17100	0.0124628748753585	0.000233918128655031
18100	0.0121495642256977	0.00198895027624335
19100	0.0116893095556028	0.00293193717277518
20100	0.0115757458944593	0.00298507462686581
21100	0.0113394823301267	0.00132701421800929
22100	0.0110101981218778	0.00144796380090506
23100	0.0108282157186981	0.00138528138528127
24100	0.0105997901374469	0.00149377593361022
25100	0.0103894037879418	0.00239043824701168
26100	0.010215830236033	0.00107279693486584
27100	0.00994882331750051	0.00132841328413313
28100	0.00983207010310914	0.000427046263345332
29100	0.00962949736639876	0.00123711340206212
30100	0.0094367599380348	0.000531561461794006
31100	0.00926593235231143	0.000257234726687816
32100	0.00914115043942613	0.000124610591900609
33100	0.00907283370715788	0.000725075528701158
34100	0.00893242683824697	0.000117302052785817
35100	0.00876890801564304	0.000569800569800716
36100	0.00862960872759503	0.000221606648199479
37100	0.00851966428770162	0.00097035040431237
38100	0.00840029397974564	0.000944881889763938
39100	0.00826322530209984	0.00092071611253175
40100	0.00816001235985384	0.000698254364090101
41100	0.00806226587804041	0.000194647201946285
42100	0.00804447508156749	0.00095011876484552
43100	0.0079598710595375	0.000649651972157717
44100	0.00782143934262327	0.000272108843537566
45100	0.00779225509362454	0.000266075388026366
46100	0.00769512260290961	0.00017353579175694
47100	0.00755102255773783	0.000169851380042552
48100	0.00751044570931487	0.000249480249480349
49100	0.00738021746832756	8.14663951120842E-05
50100	0.00733486083430662	0.000239520958083883
51100	0.00724376115231729	0.000234833659491507
52100	0.00721809036419283	0.000460652591170785
53100	0.00712865904762604	0.000150659133709929
54100	0.00706604502672148	7.39371534193012E-05
55100	0.00697073838636158	0.000653357531760435
56100	0.00695762212570411	0.000427807486630627
57100	0.00683849208485125	0.000140105078808794
58100	0.00682473369229862	0.000206540447504011
59100	0.00677489027297007	0.000270727580371943
60100	0.00671691618788945	0.000332778702162972
61100	0.00661909069018167	0.000196399345335774
62100	0.00661099354004969	0.000322061191626588
63100	0.00652063102291102	6.33914421550585E-05
64100	0.00650126250126936	0.00037441497659918
65100	0.00642555323707291	0.000614439324116756
66100	0.0063915732778965	0.000423600605143903
67100	0.00637372353486032	0.000476900149031234
68100	0.0062816602944032	0.000176211453744468
69100	0.00626453900881974	0.000463096960926279
70100	0.00616896817275923	0.0001711840228249
71100	0.00613057850568393	5.62587904360257E-05
72100	0.00611569663392094	0.000166435506241402
73100	0.00608150236175786	0.000383036935704517
74100	0.00603477861465291	0.000215924426450353
75100	0.00600727187160863	0.000372836218375472
76100	0.00594345623676736	5.25624178711048E-05
77100	0.00590991369917254	0.000103761348897446
78100	0.00584907075651855	0.000256081946222952
79100	0.00584940167775078	0.000151706700379339
80100	0.00578887737144953	0.000249687890137462
81100	0.00575583550907323	0.000246609124537667
82100	0.00571418275143618	0.000487210718636
83100	0.00569569421361782	9.6269554753281E-05
84100	0.00566645822801261	0.000190249702734846
85100	0.00562005488389733	9.40070505288659E-05
86100	0.00558902211418666	0.000418118466899209
87100	0.0055542575211014	0.000321469575200961
88100	0.0055229085320168	0.000272417707150918
89100	0.00550235503199982	0.000224466891133979
90100	0.00546682720282542	0.000310765815760394
91100	0.00545266643465419	0
92100	0.0054232906066709	0.000304017372421583
93100	0.00538815261495726	0.000128893662728391
94100	0.00535220526525509	0.000637619553666369
95100	0.00530467394652943	0.000757097791797889
96100	0.00530758059847002	0.000582726326743277
97100	0.00526736489894985	0.000782698249227831
98100	0.00525054328598545	0.000774719673802604
99100	0.00519205524188307	0.00100908173562075
